call_id,account_id,borrower_id,event_at,agent_id,campaign_id,direction,vendor_id,call_status,duration_sec,timezone,conflicting_call_id
CALL0000226,ACC0010288,BRW0011653,2026-01-09 11:36:06,AGT0000584,CMP0000108,OUTBOUND,VND0000015,VOICEMAIL,184,Asia/Dubai,True
CALL0005099,ACC0013498,BRW0005794,2026-07-10 10:21:04,AGT0000013,CMP0000068,INBOUND,VND0000011,NO_ANSWER,823,Asia/Kolkata,True
CALL0008648,ACC0016926,BRW0001908,2026-06-04 21:34:24,AGT0000932,CMP0000101,OUTBOUND,VND0000002,ANSWERED,812,UTC,True
CALL0013470,ACC0011890,BRW0002352,2026-03-31 06:06:00,AGT0000310,CMP0000085,OUTBOUND,VND0000005,BUSY,178,Asia/Kolkata,True
CALL0056697,ACC0024264,BRW0003381,2026-03-03 00:25:38,AGT0000632,CMP0000008,OUTBOUND,VND0000013,VOICEMAIL,489,UTC,True
CALL0059442,ACC0003269,BRW0002376,2026-01-25 02:17:08,AGT0000378,CMP0000073,OUTBOUND,VND0000014,VOICEMAIL,708,Asia/Dubai,True
CALL0063660,ACC0024623,BRW0005393,2026-04-28 19:26:58,AGT0000752,CMP0000072,OUTBOUND,VND0000009,FAILED,570,UTC,True
CALL0076303,ACC0002904,BRW0001621,2026-03-30 02:49:39,AGT0000651,CMP0000073,OUTBOUND,VND0000013,BUSY,463,Asia/Dubai,True
CALL0077078,ACC0028077,BRW0005301,2026-05-13 05:00:00,AGT0000772,CMP0000105,OUTBOUND,VND0000007,BUSY,505,Asia/Dubai,True
CALL0079063,ACC0015177,BRW0007169,2026-03-06 02:44:38,AGT0000697,CMP0000116,OUTBOUND,VND0000011,NO_ANSWER,405,UTC,True
CALL0081466,ACC0013166,BRW0006684,2026-08-12 15:43:05,AGT0000069,CMP0000056,INBOUND,VND0000012,BUSY,180,Asia/Kolkata,True
CALL0059442,ACC0003269,BRW0002376,2026-01-20 02:17:08,AGT0000378,CMP0000073,OUTBOUND,VND0000014,VOICEMAIL,708,Asia/Dubai,True
CALL0008648,ACC0016926,BRW0001908,2026-06-07 21:34:24,AGT0000932,CMP0000101,OUTBOUND,VND0000002,ANSWERED,812,UTC,True
CALL0056697,ACC0024264,BRW0003381,2026-02-26 00:25:38,AGT0000632,CMP0000008,OUTBOUND,VND0000013,VOICEMAIL,489,UTC,True
CALL0000226,ACC0010288,BRW0011653,2026-01-12 11:36:06,AGT0000584,CMP0000108,OUTBOUND,VND0000015,VOICEMAIL,184,Asia/Dubai,True
CALL0076303,ACC0002904,BRW0001621,2026-04-02 02:49:39,AGT0000651,CMP0000073,OUTBOUND,VND0000013,BUSY,463,Asia/Dubai,True
CALL0077078,ACC0028077,BRW0005301,2026-05-12 05:00:00,AGT0000772,CMP0000105,OUTBOUND,VND0000007,BUSY,505,Asia/Dubai,True
CALL0081466,ACC0013166,BRW0006684,2026-08-07 15:43:05,AGT0000069,CMP0000056,INBOUND,VND0000012,BUSY,180,Asia/Kolkata,True
CALL0005099,ACC0013498,BRW0005794,2026-07-06 10:21:04,AGT0000013,CMP0000068,INBOUND,VND0000011,NO_ANSWER,823,Asia/Kolkata,True
CALL0063660,ACC0024623,BRW0005393,2026-04-23 19:26:58,AGT0000752,CMP0000072,OUTBOUND,VND0000009,FAILED,570,UTC,True
CALL0079063,ACC0015177,BRW0007169,2026-03-05 02:44:38,AGT0000697,CMP0000116,OUTBOUND,VND0000011,NO_ANSWER,405,UTC,True
CALL0013470,ACC0011890,BRW0002352,2026-03-29 06:06:00,AGT0000310,CMP0000085,OUTBOUND,VND0000005,BUSY,178,Asia/Kolkata,True
