dataset,rows,columns,exact_duplicate_rows,missing_cells,missing_pct_cells,id_column,unique_ids,duplicate_id_groups,duplicate_id_extra_rows,min_datetime,max_datetime
account_status_history,60000,8,0,0,0.0,history_id,60000.0,0.0,0.0,2025-12-31 01:26:29,2026-08-09 22:02:27
accounts,30000,11,0,455,0.138,account_id,30000.0,0.0,0.0,2024-01-01 00:02:27,2025-11-30 23:52:36
agent_sessions,15000,7,0,0,0.0,session_id,15000.0,0.0,0.0,2026-01-01 00:01:57,2026-08-09 07:50:12
agents,30000,8,0,0,0.0,agent_id,1000.0,1000.0,29000.0,2024-01-01 00:10:05,2026-08-03 23:45:38
borrowers,30600,8,600,1509,0.616,borrower_id,11015.0,8566.0,19585.0,2025-01-01 00:14:38,2026-08-03 23:48:36
call_attempts,120000,9,0,2400,0.222,attempt_id,120000.0,0.0,0.0,2026-01-01 00:01:18,2026-08-08 23:58:40
call_dispositions,35000,8,0,0,0.0,disposition_id,35000.0,0.0,0.0,2026-01-01 00:10:00,2026-08-08 23:50:50
calls,91350,11,1271,1827,0.182,call_id,90000.0,1350.0,1350.0,2025-12-29 06:52:37,2026-08-12 15:43:05
campaigns,120,7,0,0,0.0,campaign_id,120.0,0.0,0.0,2026-01-01 09:34:51,2026-08-16 18:13:39
complaints,8000,9,0,0,0.0,complaint_id,8000.0,0.0,0.0,2026-01-01 00:38:02,2026-08-26 13:22:27
daily_targeting,45000,7,0,0,0.0,target_id,45000.0,0.0,0.0,2026-01-01 00:00:00,2026-08-08 00:00:00
data_dictionary,143,3,0,0,0.0,,,,,,
field_visits,25000,10,0,250,0.1,visit_id,25000.0,0.0,0.0,2025-12-31 05:21:55,2026-08-08 23:50:03
payments,25500,9,486,382,0.166,payment_id,25000.0,500.0,500.0,2026-01-01 00:14:40,2026-08-08 23:50:23
promises_to_pay,18000,9,0,0,0.0,ptp_id,18000.0,0.0,0.0,2026-01-01 00:24:14,2026-09-06 21:23:52
sms_events,45000,8,0,0,0.0,sms_event_id,45000.0,0.0,0.0,2026-01-01 00:04:16,2026-08-08 23:46:06
vendor_telephony,15,6,0,0,0.0,vendor_id,15.0,0.0,0.0,,
whatsapp_events,60600,8,600,0,0.0,whatsapp_event_id,60000.0,600.0,600.0,2026-01-01 00:01:49,2026-08-08 23:56:16
