risk_segment,outstanding,recovered,accounts,contacts,attempts,recovery_rate,contact_rate,dimension,loan_type,dpd
HIGH,18523278140.57,324423185.79,7552,4421.0,21967.0,0.01751435050146134,0.201256430099695,risk_segment,,
LOW,18433177671.02,326286356.07,7513,4239.0,21624.0,0.01770103678775776,0.19603218645948944,risk_segment,,
MEDIUM,18397256200.61,327407758.01,7533,4365.0,21778.0,0.01779655370560878,0.20043162824869135,risk_segment,,
NPA,18069535388.8,314825158.53,7402,4239.0,21478.0,0.017422980267945205,0.19736474532079337,risk_segment,,
,14947105886.93,262789994.36,6079,3471.0,17722.0,0.017581329546195828,0.19585825527592823,loan_type,AUTO,
,14412402407.97,250698195.27,5928,3496.0,17302.0,0.017394615288521566,0.20205756559935267,loan_type,BNPL,
,14511788843.72,263333453.81,5930,3414.0,17001.0,0.018146174578880948,0.20081171695782601,loan_type,CONSUMER,
,14886738581.75,263137951.04,6080,3497.0,17598.0,0.017675997304244125,0.19871576315490397,loan_type,CREDIT_CARD,
,14665211680.63,252982863.92,5983,3386.0,17224.0,0.017250542946757666,0.1965861588481189,loan_type,PERSONAL,
,6637530403.07,114716032.29,2685,1558.0,7722.0,0.01728293888295282,0.20176120176120177,dpd,,0.0
,6589797694.55,114664170.11,2713,1489.0,7887.0,0.01740025649115623,0.18879168251553188,dpd,,1.0
,6809249143.97,121336594.28,2727,1585.0,7876.0,0.017819379452057627,0.20124428643981718,dpd,,5.0
,6833608520.13,114806000.94,2736,1590.0,7935.0,0.016800201621414504,0.2003780718336484,dpd,,15.0
,6606048265.32,113112427.94,2704,1587.0,7955.0,0.017122555482043663,0.19949717159019484,dpd,,30.0
,6622357916.37,120724256.14,2744,1625.0,7982.0,0.018229799365204677,0.20358306188925082,dpd,,45.0
,6779074191.82,128239661.47,2770,1540.0,7840.0,0.018916987458957295,0.19642857142857142,dpd,,60.0
,6614846105.35,118313828.17,2741,1550.0,7971.0,0.017886104421130724,0.19445489900890728,dpd,,75.0
,6656232668.61,116993560.91,2727,1588.0,7908.0,0.017576543179106056,0.20080930703085484,dpd,,90.0
,6831648239.99,121587094.89,2759,1601.0,8039.0,0.017797622274852078,0.1991541236472198,dpd,,120.0
,6442854251.82,108448831.26,2694,1551.0,7732.0,0.01683242038718554,0.20059493016037247,dpd,,180.0
